GEOID,ALAND,AWATER,NAME,State,County,B19049_001E,B19049_001M,B19049_002E,B19049_002M,B19049_003E,B19049_003M,B19049_004E,B19049_004M,B19049_005E,B19049_005M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19053_001E,B19053_001M,B19053_002E,B19053_002M,B19053_003E,B19053_003M,B19053_calc_pctSelfempE,B19053_calc_pctSelfempM,Shape__Area,Shape__Length,Update_Field
42003020100,1427891.0,465722.0,Census Tract 201,Pennsylvania,Allegheny County,91028.0,21064.0,,,110732.0,22509.0,74681.0,64270.0,,,,,,,122386.0,66907.0,,,,,,,82988.0,15038.0,,,2205,283.0,78,51.0,2127,290.0,3.5,2.267928405116901,2467787.484375,7183.029282361426,Yes
42003020300,1590870.0,326538.0,Census Tract 203,Pennsylvania,Allegheny County,114109.0,10916.0,131316.0,5246.0,112586.0,13716.0,250001.0,,59000.0,41278.0,,,,,105000.0,16512.0,,,,,114447.0,36486.0,115833.0,25508.0,163571.0,40126.0,1227,221.0,100,49.0,1127,226.0,8.1,3.713904427565783,2750518.078125,9601.344660225943,Yes
42003030500,927620.0,0.0,Census Tract 305,Pennsylvania,Allegheny County,47500.0,15086.0,,,50500.0,15113.0,53507.0,14918.0,25855.0,23141.0,23267.0,8825.0,,,51105.0,1883.0,,,,,,,52656.0,29029.0,,,1604,196.0,49,39.0,1555,205.0,3.1,2.402595826922077,1603234.640625,5918.686486050173,Yes
42003040200,604860.0,0.0,Census Tract 402,Pennsylvania,Allegheny County,31250.0,13265.0,23194.0,18812.0,19174.0,643.0,41750.0,30594.0,41111.0,13975.0,,,,,41625.0,29953.0,,,,,,,24722.0,18013.0,,,420,70.0,12,13.0,408,70.0,2.9,3.058388709205983,1045338.8359375,6611.81464517779,Yes
42003040400,194956.0,0.0,Census Tract 404,Pennsylvania,Allegheny County,66500.0,19905.0,2499.0,,39500.0,32359.0,144583.0,108213.0,91726.0,20312.0,,,,,39625.0,27823.0,,,,,,,82500.0,19212.0,,,930,118.0,56,41.0,874,125.0,6.0,4.341894511367424,337000.9296875,2643.3811302884715,Yes
42003040500,473356.0,0.0,Census Tract 405,Pennsylvania,Allegheny County,15534.0,6881.0,10000.0,5810.0,38083.0,35587.0,,,75179.0,62725.0,,,,,,,,,,,31600.0,21407.0,11715.0,6869.0,,,937,183.0,45,76.0,892,176.0,4.8,8.05657684312302,818062.87109375,4216.782152519194,Yes
42003040600,252018.0,0.0,Census Tract 406,Pennsylvania,Allegheny County,30205.0,12315.0,24696.0,11559.0,31938.0,26895.0,,,,,,,,,,,,,,,,,30540.0,11243.0,,,782,124.0,48,38.0,734,127.0,6.1,4.760862566436078,435505.421875,3224.479152455526,Yes
42003040900,912392.0,0.0,Census Tract 409,Pennsylvania,Allegheny County,28444.0,7936.0,10819.0,4266.0,50513.0,8938.0,63693.0,31945.0,68977.0,54198.0,,,,,,,,,,,27566.0,7308.0,35466.0,4982.0,,,1462,226.0,113,70.0,1349,233.0,7.7,4.636491172283133,1576508.9921875,7167.455521192954,Yes
42003050100,790373.0,0.0,Census Tract 501,Pennsylvania,Allegheny County,29353.0,15532.0,,,,,47125.0,19998.0,26635.0,18317.0,30192.0,12614.0,,,,,,,,,15607.0,6187.0,,,,,863,153.0,15,19.0,848,158.0,1.7,2.1799505888323356,1366260.31640625,5812.276767643701,Yes
42003050600,804401.0,6849.0,Census Tract 506,Pennsylvania,Allegheny County,40735.0,12747.0,15926.0,1728.0,45330.0,13136.0,73462.0,58664.0,36250.0,22520.0,36435.0,11621.0,,,,,,,,,,,70956.0,50490.0,,,798,154.0,68,40.0,730,166.0,8.5,4.735104533355929,1402570.8203125,4745.98389202813,Yes
