COUNTYNS,GEOID,ALAND,AWATER,NAME,State,B19049_001E,B19049_001M,B19049_002E,B19049_002M,B19049_003E,B19049_003M,B19049_004E,B19049_004M,B19049_005E,B19049_005M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19053_001E,B19053_001M,B19053_002E,B19053_002M,B19053_003E,B19053_003M,B19053_calc_pctSelfempE,B19053_calc_pctSelfempM,Shape__Area,Shape__Length,Update_Field
00161526,01001,1539631461.0,25677536.0,Autauga County,Alabama,69841.0,5512.0,54527.0,8489.0,80670.0,4432.0,85992.0,5525.0,47114.0,3721.0,53861.0,5482.0,,,61375.0,40999.0,,,32394.0,28315.0,93159.0,14232.0,76976.0,6419.0,92728.0,18340.0,22523,431.0,1579,288.0,20944,524.0,7.0,1.2716359314178571,2208587756.703125,249970.19178781885,Yes
00161527,01003,4117725048.0,1132887203.0,Baldwin County,Alabama,75019.0,2751.0,29293.0,7046.0,85201.0,4508.0,88873.0,6864.0,59198.0,2953.0,39015.0,5628.0,62438.0,13503.0,97841.0,27530.0,,,58804.0,18700.0,79085.0,10777.0,81134.0,2798.0,65116.0,16165.0,94642,1316.0,11004,965.0,83638,1509.0,11.6,1.00673276712226,5911174507.650391,537587.2607248242,Yes
00161528,01005,2292160151.0,50523213.0,Barbour County,Alabama,44290.0,2762.0,27025.0,16523.0,45574.0,6052.0,54085.0,10639.0,40305.0,5531.0,28125.0,2586.0,25625.0,11045.0,64196.0,27133.0,,,44243.0,18523.0,28828.0,19295.0,65577.0,6986.0,38500.0,24492.0,9080,315.0,798,172.0,8282,323.0,8.8,1.869575722866702,3257906793.0390625,320882.84790439066,Yes
00161529,01007,1612188713.0,9572302.0,Bibb County,Alabama,51215.0,6678.0,,,59395.0,10881.0,60320.0,14012.0,37938.0,4465.0,25833.0,7759.0,,,,,,,,,,,60817.0,6218.0,,,7571,288.0,515,185.0,7056,367.0,6.8,2.42979536528637,2311977954.53125,227920.06097241538,Yes
00161530,01009,1670259100.0,14860281.0,Blount County,Alabama,61096.0,3328.0,39425.0,15908.0,73482.0,5581.0,70522.0,10399.0,44642.0,3493.0,58036.0,53231.0,60536.0,35040.0,,,,,63971.0,34785.0,44583.0,7085.0,62636.0,3845.0,48777.0,18273.0,21977,403.0,2394,310.0,19583,500.0,10.9,1.396350313529922,2456904210.2929688,292630.2870038815,Yes
00161531,01011,1613083468.0,6030667.0,Bullock County,Alabama,36723.0,6836.0,82719.0,35126.0,42988.0,14909.0,30507.0,9623.0,23854.0,18705.0,30149.0,7651.0,,,,,,,69028.0,33697.0,11227.0,5795.0,65063.0,21521.0,64844.0,28166.0,3453,245.0,244,125.0,3209,234.0,7.1,3.58515223685083,2262904519.984375,249092.7970120357,Yes
00161532,01013,2012002548.0,2701199.0,Butler County,Alabama,44881.0,4130.0,40333.0,17426.0,41630.0,8162.0,55250.0,12802.0,41151.0,4573.0,34870.0,5353.0,,,,,,,,,,,54739.0,8739.0,,,7262,313.0,477,127.0,6785,317.0,6.6,1.7257622285066951,2794760978.6015625,221283.35719042935,Yes
00161533,01015,1569248377.0,16534047.0,Calhoun County,Alabama,55826.0,2168.0,33683.0,15617.0,60761.0,4772.0,62076.0,5251.0,44974.0,2979.0,37484.0,4732.0,,,64219.0,36314.0,,,48261.0,39140.0,42167.0,26735.0,60753.0,2637.0,50375.0,24477.0,45125,708.0,3790,499.0,41335,774.0,8.4,1.0979374171383023,2300852366.6953125,263781.3081981522,Yes
00161534,01017,1545068570.0,16988729.0,Chambers County,Alabama,49295.0,5005.0,,,59444.0,6701.0,59619.0,13671.0,38722.0,4598.0,41660.0,6309.0,,,,,,,,,93250.0,85783.0,57748.0,7047.0,82768.0,25416.0,13419,476.0,937,280.0,12482,502.0,7.0,2.0718405577588226,2222662395.7773438,208606.04135937506,Yes
00161535,01019,1433620850.0,120310807.0,Cherokee County,Alabama,50769.0,4891.0,48375.0,12670.0,63163.0,6626.0,63694.0,7981.0,40837.0,3177.0,49524.0,31975.0,60903.0,30048.0,16058.0,4234.0,,,62744.0,35481.0,44572.0,11579.0,50978.0,4819.0,44693.0,26140.0,10477,416.0,802,201.0,9675,435.0,7.7,1.8942583241657411,2276002215.9882812,237079.59352651253,Yes
00161536,01021,1794438908.0,20592054.0,Chilton County,Alabama,61873.0,2954.0,42474.0,10173.0,69548.0,9983.0,72235.0,11142.0,39259.0,6409.0,35250.0,8396.0,92995.0,1613.0,,,,,50933.0,35830.0,53367.0,13750.0,64232.0,4157.0,62500.0,20324.0,17554,415.0,1479,308.0,16075,509.0,8.4,1.7432428049238975,2578783801.4882812,248625.3232346001,Yes
00161537,01023,2365900084.0,19114321.0,Choctaw County,Alabama,44483.0,4856.0,28233.0,27303.0,54950.0,35951.0,53818.0,3470.0,34474.0,4782.0,30519.0,4466.0,,,,,,,,,31083.0,23460.0,52608.0,4102.0,73221.0,59571.0,5174,261.0,307,110.0,4867,293.0,5.9,2.104839660821004,3327536543.9960938,324953.7811167687,Yes
00161538,01025,3207494083.0,36657889.0,Clarke County,Alabama,49167.0,4873.0,33281.0,7729.0,44023.0,9399.0,57188.0,6167.0,44978.0,9607.0,36368.0,8058.0,,,,,,,,,48750.0,26340.0,63250.0,6760.0,,,8452,367.0,682,190.0,7770,363.0,8.1,2.220515981659763,4492990574.917969,455174.0146751445,Yes
00161539,01027,1564255426.0,5281616.0,Clay County,Alabama,51852.0,3549.0,,,51004.0,5621.0,74529.0,8785.0,37131.0,6034.0,30238.0,11214.0,,,,,,,65976.0,32075.0,,,54106.0,4786.0,72708.0,44616.0,5765,262.0,623,185.0,5142,297.0,10.8,3.1712153403564547,2251227965.3164062,244308.31906843217,Yes
00161540,01029,1450666453.0,2352217.0,Cleburne County,Alabama,53319.0,4481.0,45588.0,8681.0,66369.0,16074.0,88011.0,6663.0,39967.0,5552.0,,,,,,,,,54394.0,39100.0,,,57718.0,6937.0,,,5849,215.0,347,123.0,5502,223.0,5.9,2.091585791729743,2103518737.4726562,264790.9458925411,Yes
00161541,01031,1758565928.0,3907189.0,Coffee County,Alabama,64672.0,3538.0,45106.0,18189.0,70132.0,7095.0,80591.0,4883.0,48142.0,5917.0,34327.0,8875.0,84688.0,46075.0,36875.0,33845.0,,,100329.0,10932.0,71875.0,11193.0,73293.0,3968.0,51940.0,25508.0,20860,435.0,2001,343.0,18859,565.0,9.6,1.6320823254667092,2426766484.71875,203468.71440527908,Yes
00161542,01033,1535740663.0,79162005.0,Colbert County,Alabama,56736.0,4001.0,32462.0,20483.0,68370.0,9890.0,69403.0,8465.0,42586.0,5113.0,34525.0,4002.0,,,154330.0,76224.0,,,26667.0,4711.0,48707.0,5598.0,64018.0,3670.0,47957.0,14295.0,24217,489.0,1728,337.0,22489,558.0,7.1,1.3841052625875339,2394899037.3359375,262716.07300820964,Yes
00161543,01035,2202213383.0,6426488.0,Conecuh County,Alabama,42266.0,4545.0,2499.0,,49875.0,11944.0,46166.0,6786.0,37279.0,7551.0,37548.0,4723.0,,,,,,,,,49792.0,13672.0,54794.0,5450.0,,,4528,265.0,270,105.0,4258,269.0,6.0,2.292495053351875,3042810006.2070312,309795.32434416196,Yes
00161544,01037,1685846963.0,39991153.0,Coosa County,Alabama,57063.0,5500.0,,,61344.0,17596.0,67555.0,5362.0,49405.0,7401.0,41633.0,11360.0,,,,,,,,,64688.0,49703.0,65045.0,9092.0,,,4201,203.0,295,116.0,3906,217.0,7.0,2.740318776573764,2456907531.8515625,209661.84835637733,Yes
00161545,01039,2669165560.0,34194851.0,Covington County,Alabama,50886.0,4230.0,28819.0,12621.0,59486.0,10362.0,64444.0,7506.0,37188.0,5035.0,31438.0,6381.0,31750.0,1454.0,,,,,51544.0,10672.0,61875.0,28568.0,55536.0,5596.0,49297.0,2681.0,14495,307.0,1106,200.0,13389,339.0,7.6,1.3702895038103784,3710244590.8671875,288483.99345659383,Yes
00161546,01041,1576952763.0,5388562.0,Crenshaw County,Alabama,49040.0,4592.0,35068.0,32542.0,63750.0,10564.0,48925.0,4420.0,37202.0,5504.0,29052.0,8713.0,,,,,,,,,58555.0,6455.0,57857.0,8480.0,51037.0,11256.0,5075,176.0,523,121.0,4552,212.0,10.3,2.357298439083209,2194020409.7070312,286131.19301435165,Yes
00161547,01043,1902965941.0,52529994.0,Cullman County,Alabama,60916.0,2736.0,49974.0,10664.0,72998.0,3643.0,70597.0,5358.0,41574.0,2060.0,73255.0,10563.0,51721.0,8601.0,65550.0,5489.0,,,54167.0,37636.0,70491.0,21758.0,60706.0,2714.0,62069.0,24634.0,34543,607.0,4437,548.0,30106,734.0,12.8,1.570289374239497,2861200514.4960938,295392.6613142471,Yes
00161548,01045,1453276164.0,4051341.0,Dale County,Alabama,53955.0,2136.0,37861.0,7403.0,59656.0,8716.0,59340.0,5313.0,47486.0,3877.0,34447.0,4116.0,50500.0,31529.0,37386.0,11150.0,,,,,66912.0,11510.0,60825.0,3593.0,61458.0,30028.0,19769,356.0,1409,268.0,18360,420.0,7.1,1.3495683768509,2007843657.1054688,200998.09964065687,Yes
00161549,01047,2534919602.0,39124772.0,Dallas County,Alabama,36810.0,3543.0,13353.0,11016.0,36316.0,17626.0,42068.0,7428.0,31493.0,3153.0,29631.0,2559.0,21912.0,15257.0,,,,,,,38322.0,3846.0,63039.0,6138.0,2499.0,,15416,426.0,1488,262.0,13928,468.0,9.7,1.6784720020639585,3615260196.78125,375473.7302919736,Yes
00161550,01049,2012620262.0,4107136.0,DeKalb County,Alabama,51149.0,2343.0,36609.0,9965.0,60271.0,5623.0,57892.0,3640.0,36975.0,6580.0,26438.0,23519.0,52664.0,5297.0,,,,,42738.0,10710.0,43819.0,10306.0,52448.0,2546.0,44345.0,7090.0,25946,462.0,3577,409.0,22369,591.0,13.8,1.5571193184730696,2973711650.0625,274855.55295298196,Yes
00161551,01051,1601948960.0,99777799.0,Elmore County,Alabama,75553.0,3115.0,41360.0,9899.0,75849.0,4335.0,92777.0,6336.0,62021.0,4123.0,46714.0,8026.0,83000.0,20581.0,70313.0,55662.0,,,112054.0,58419.0,46071.0,13273.0,84413.0,3641.0,62873.0,24057.0,32529,559.0,2524,408.0,30005,718.0,7.8,1.2471576719585533,2404342396.28125,273321.8906547117,Yes
00161552,01053,2448595164.0,20024887.0,Escambia County,Alabama,44447.0,3904.0,58380.0,12470.0,44020.0,6651.0,48098.0,5520.0,41102.0,7443.0,32453.0,4556.0,66667.0,15898.0,,,,,23858.0,23034.0,39286.0,16320.0,52071.0,5858.0,,,12781,438.0,951,238.0,11830,503.0,7.4,1.8445979598568902,3379387358.9101562,290489.6628973206,Yes
00161553,01055,1385916764.0,35022972.0,Etowah County,Alabama,53070.0,1864.0,33561.0,8660.0,57088.0,4740.0,63048.0,4136.0,43377.0,1836.0,35958.0,2456.0,70288.0,46253.0,122870.0,56798.0,,,51667.0,16463.0,39036.0,9576.0,57221.0,2720.0,53039.0,3244.0,39160,581.0,4125,539.0,35035,852.0,10.5,1.367503060659526,2074840408.5507812,252677.6270922274,Yes
00161554,01057,1625693253.0,4330881.0,Fayette County,Alabama,50733.0,5743.0,47813.0,29201.0,59970.0,18954.0,66431.0,9621.0,34450.0,4625.0,,,,,,,,,,,,,54867.0,8154.0,,,6051,253.0,554,142.0,5497,290.0,9.2,2.315287039430129,2362301126.2460938,222371.1386510553,Yes
00161555,01059,1641945980.0,32539346.0,Franklin County,Alabama,51493.0,5249.0,48750.0,25608.0,69736.0,4769.0,50000.0,11941.0,38352.0,6705.0,,,56484.0,27576.0,,,,,39948.0,13956.0,59130.0,28269.0,53911.0,5845.0,44806.0,8178.0,11593,368.0,1467,332.0,10126,467.0,12.7,2.8354863108331028,2467990401.7109375,210530.79166779842,Yes
00161556,01061,1487908432.0,11567409.0,Geneva County,Alabama,50951.0,4889.0,33194.0,32061.0,59884.0,8811.0,65718.0,8919.0,41327.0,3304.0,28144.0,7282.0,,,81354.0,734.0,,,29648.0,17824.0,34375.0,10450.0,57711.0,4335.0,39038.0,22016.0,10550,270.0,1005,228.0,9545,342.0,9.5,2.1473423120457986,2051355981.8007812,212054.23260813093,Yes
00161557,01063,1675782054.0,33416150.0,Greene County,Alabama,31495.0,4589.0,,,27341.0,6872.0,36010.0,5345.0,29327.0,13980.0,26201.0,3548.0,,,,,,,,,,,66932.0,31862.0,,,3037,199.0,280,129.0,2757,211.0,9.2,4.204432917589218,2428713174.9804688,429975.2631836999,Yes
00161558,01065,1667926667.0,32403804.0,Hale County,Alabama,41325.0,5403.0,,,52718.0,12109.0,47727.0,15454.0,28085.0,5212.0,27120.0,7934.0,,,,,,,,,,,67734.0,9311.0,,,5541,253.0,293,114.0,5248,263.0,5.3,2.0431742774716315,2411244645.8515625,299733.019950393,Yes
00161559,01067,1455293386.0,16620066.0,Henry County,Alabama,60135.0,6853.0,95230.0,68301.0,71349.0,7661.0,74036.0,9626.0,37227.0,3400.0,29886.0,9319.0,,,160000.0,77182.0,,,,,,,68970.0,4655.0,,,6684,311.0,498,133.0,6186,302.0,7.5,1.9593950319391895,2031500362.6386719,199590.21086024249,Yes
